Site Number;Site Portfolio;Asset Status;State;City;Address;Latitude Decimal;Longitude Decimal;Anchor Tenant Name;Asset Source;Marketable Flag;Asset Class;Asset Type;Site Type;Constructed Date;Acquired Date;Tenant Ready Date;Non Marketable Reason;Site Created On Date;Building Height Asset;Total Height;Structure Height;Tower Extended Flag;Structure Type;Reinforcement Flag;Access Instructions;Building Height;Cliente 1;Cliente 2;Cliente 3;Cliente 4;Cliente 5;Cliente 6;Cliente 7;Cliente 8;Cliente 9;Cliente 10;Cliente 11;Cliente 12;Cliente 13;Cliente 14;Estacao
1138;A;Active;CE;Pacatuba;RUA DO CEMITÉRIO S/N -PAVUNA-PACATUBA;-12,314706;-39,307099;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;18;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;684369036
1139;A;Active;CE;Guaiúba;TRAVESSA JOAQUIM DIAS DA CUNHA,S/N,ALTO SANTO ANTONIO;-12,2923904;-39,33615835;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;18;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;687672368
1140;A;Active;CE;Horizonte;RUA EURICO GASPAR  S/N DISTRITO INDUSTRIAL-CENTRO-HORIZONTE;-12,24744;-39,34525;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;12;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;;;;;;;;;695550870
1141;A;Active;CE;Barbalha;RUA   PROJETADA S/N -CENTRO-BARBALHA;-14,13803;-39,734848;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reallocation;19/10/2015 21:13;0;20;20;N;Self Support;N;Autorização Regional Oi/CGS;0;;;X;;;;X;;;;;;;;699068576
1142;C;Active;CE;Caucaia;AVENIDA DUNAS S/N -ICARAI-CAUCAIA;-14,13989944;-39,73533035;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:01;;;60;N;Self Support;Y;;;;X;;;;;X;;;;;X;;;772224
1143;D;Active;CE;Caucaia;RUA DAS FLORES  246 -ARIANOPOLIS-CAUCAIA;-14,13823276;-39,73505257;Vivo;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:47;;;58;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;;;;;;;X;;692999248
1144;C;Active;CE;Eusébio;RUA HELDESA FILHO,120,COACU;-12,15655865;-39,73696661;Tim;Built;Y;Wireless;Tower;;09/27/2013;;27/09/2013;;19/10/2015 20:49;;40;40;N;Monopole;N;;;;;;;;;;;;;;X;;;684202980
1145;C;Active;CE;Icó;RUA FRANCISCO MACIEL DA SILVA  S/N -CENTRO-ICO;-12,32100114;-39,77088372;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:01;;;60;N;Self Support;N;;;;;;;;;;;;;;X;;;5091799
1146;D;Active;CE;Jaguaribara;RUA GONÇALO DE NEGREIROS 560 -CENTRO-JAGUARIBARA;-12,1454;-39,7336;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:37;0;40;40;N;Self Support;Y;;0;;;;;;;;;;;;;X;;613546512
1147;C;Active;CE;Maracanaú;RUA ANTONIO DE ALENCAR S/N -CENTRO-MARACANAU;-12,11544443;-39,83366169;Tim;Built;Y;Wireless;Tower;;10/18/2013;;18/10/2013;;19/10/2015 20:49;;60;60;N;Self Support;N;;;;;;;;;;;;;;X;;;1202669
1148;C;Active;CE;Maracanaú;RUA PEREIRA SILVA S/N -SIQUEIRA-MARACANAU;-12,157866;-39,749099;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:01;;;60;N;Self Support;N;;;;;;;;;;;;;;X;;;534915361
1149;C;Active;CE;Maracanaú;RUA CINCO S/N LT 6789 DL 200 QUADRA 6-DISTRITO INDUSTRIAL-MARACANAU;-12,30377869;-39,89116233;Tim;Built;Y;Wireless;Tower;;12/17/2013;;17/12/2013;;19/10/2015 20:49;;60;60;N;Self Support;N;;;;;;;;;;;;;;X;;;695340573
1150;C;Active;CE;Nova Russas;RUA RIBAMAR MENDES S/N -CENTRO-NOVA RUSSAS;-11,94052777;-39,72122222;Tim;Built;Y;Wireless;Tower;;08/22/2017;;22/08/2017;;20/06/2016 15:02;0;60;60;;Guyed;;;0;;;;;;;;;;;;X;;;697385710
1151;C;Active;CE;Quixelô;RODOVIA CE 375  S/N -CENTRO-QUIXELO;-12,144833;-39,733639;Tim;Acquired;Y;Wireless;Tower;;;06/09/2016;09/06/2016;;07/07/2016 15:02;;;60;;Self Support;;;;;X;;;;;;;;;;X;;;692989617
1152;C;Active;CE;São Gonçalo do Amarante;RUA MENEZES PIMENTEL,38,CENTRO;-11,81611111;-42,61277778;Claro;Built;Y;Wireless;Tower;;11/23/2015;;23/11/2015;;05/11/2015 09:54;;40;40;N;Self Support;N;;;;X;;;;;;;;;;;;;5089972
1153;C;Active;CE;Aracati;RUA PROJETADA S/N LT 48, QD 19 - LOTEAMENTO VILA GREGA-CENTRO-ARACATI;-11,81727777;-42,61313888;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:01;;30;30;N;Self Support;N;;;;;;;;;;;;;;X;;;1001626890
1154;C;Active;CE;Fortaleza;RUA JOSÉ MAURICIO 706  GRANJA LISBOA - FORTALEZA;-13,28861111;-40,95861111;Claro;Built;Y;Wireless;Tower;;10/31/2015;;31/10/2015;;19/10/2015 22:27;;40;40;N;Monopole;N;;;;X;;;;;;;;;;;;;1005452463
1155;A;Active;CE;Ipueiras;RUA  PROJETADA S/N -CENTRO-IPUEIRAS;-13,49128356;-40,84728179;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;40;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;;;;;;;;;5121809
1156;A;Active;CE;Itaitinga;RUA BR-116 S/N -ANTONIO MIGUEL-ITAITINGA;-13,288164;-40,958522;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;0;40;40;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;;;5090660
1157;A;Active;CE;Jaguaretama;RUA PADRE AUGUSTO REGIS S/N -CENTRO-JAGUARETAMA;-13,39933836;-41,07228325;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;0;31;31;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;;;695545817
1158;A;Active;CE;Jaguaribe;AVENIDA OITO DE NOVEMBRO 870 -CENTRO-JAGUARIBE;-12,3482212;-41,65228588;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reallocation;19/10/2015 21:13;;;12;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;699100488
1159;D;Active;CE;Jaguaribe;RUA ROSARIA DIOGENES S/N -CENTRO-JAGUARIBE;-12,24569573;-41,61334104;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;12/04/2012;06/30/2012;04/12/2012;;19/10/2015 20:47;;;50;N;Self Support;Y;Cadeado de segredo 1822;;;;;;;X;;;;;;;X;;5091888
1160;A;Active;CE;Lavras da Mangabeira;RUA HILDA AUGUSTO   142 -CENTRO-LAVRAS DA MANGABEIRA;-12,15627561;-41,78923103;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reallocation;19/10/2015 21:13;;;18;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;;;;;;;;;5091900
1161;A;Active;CE;Mauriti;RUA IV S/N -CENTRO-MAURITI;-12,22627632;-41,50422914;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reallocation;19/10/2015 21:13;0;18;18;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;;;441819770
1162;A;Active;CE;Missão Velha;RUA ALTO DA FE S/N -CENTRO-MISSAO VELHA;-12,31627663;-41,62311898;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reallocation;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;5091241
1163;A;Active;CE;Parambu;RUA SANTA TEREZINHA  S/N -CENTRO-PARAMBU;-12,35238802;-41,5481185;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reallocation;19/10/2015 21:13;0;30;30;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;;;;;;;;;689008015
1164;A;Active;CE;Trairi;RUA JOSE GRANJA RIBEIRO   87 -CENTRO-TRAIRI;-12,16044272;-41,4461731;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;5089999
1165;A;Active;CE;Acaraú;RUA VENÂNCIO MIGUEL DE SOUSA S/N -PAULO VI-ACARAU;-12,33127673;-41,60506331;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;696726580
1166;A;Active;CE;Acaraú;RUA CAPITAO ANTÔNIO RAIMUNDO S/N -MONGUBAS-ACARAU;-12,3179095;-41,5786602;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;699262968
1167;A;Active;CE;Altaneira;RUA JOÃO GONÇALVES S/N -CENTRO-ALTANEIRA;-12,34544349;-41,58534097;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;696470730
1168;A;Active;CE;Aracati;RUA NASCER DO SOL S/N -CANOA QUEBRADA-ARACATI;-12,24314;-41,6193;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;686711068
1169;A;Active;CE;Aracati;RUA PROJETADA S/N QD 09 - LT 13 E 14-NOSSA SENHORA DE FATIMA-ARACATI;-12,27738768;-41,50922924;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;18;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;692987339
1170;A;Active;CE;Cedro;AVENIDA JOSE QUINTINO,350,CENTRO;-12,1701646;-41,76311976;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;X;X;;;;;;;;5091772
1171;A;Active;CE;Farias Brito;SÍTIO BARROCAS,S/N,QUINCUNHA;-12,12127911;-38,70504249;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reallocation;19/10/2015 21:13;0;6;6;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;;;5091225
1172;A;Active;CE;Guaraciaba do Norte;RUA FRANCISCO BEZERRA   84 -CENTRO-GUARACIABA DO NORTE;-11,97127823;-38,76615386;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;5093732
1173;A;Active;CE;Jardim;RUA SÃO FRANCISCO  S/N -CENTRO-JARDIM;-12,04016749;-38,76615394;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;0;29.7;29.7;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;;;695323563
1174;A;Active;CE;Jucás;FAZENDA SAO MATEUS S/N DENTRO DO IMOVEL BALTAZAR-FAZENDA BALTAZAR-JUCAS;-11,31738224;-41,92228647;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;18;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;691032602
1175;C;Active;CE;Orós;MORRO DO CRUZEIRO S/N -CENTRO-OROS;-11,301369;-41,857758;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:01;0;61;61;N;Self Support;N;;0;;X;;;;;;;;;;X;;;5091926
1176;A;Active;CE;Pereiro;FAZENDA SITIO NOVO S/N -RURAL-PEREIRO;-11,25738205;-41,82034125;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reallocation;19/10/2015 21:13;;;18;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;687672457
1177;A;Active;CE;Tianguá;RUA MOISES MOITA,S/N,CENTRO;-11,33821589;-41,74617417;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;18;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;5121302
1178;A;Active;CE;Tianguá;RUA ZEFERINO FERREIRA ,S/N,CENTRO;-11,333803;-41,929913;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;50;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;693008458
1179;A;Active;CE;Acopiara;RUA ERNESTO DAS LAJES,S/N,CENTRO;-11,301924;-41,854913;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;0;49.5;49.5;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;;;5091683
1180;D;Active;CE;Aiuaba;RUA ANTONIO MORAES FEITOSA,S/N,CENTRO;-11,3082705;-41,8526401;Vivo;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:47;0;58;58;N;Self Support;N;Cadeado de Segredo 2709;0;;;;;;;;;;;;;X;;691274762
1181;C;Active;CE;Aquiraz;RUA JOAO REGO,S/N,PRAINHA;-16,56318926;-39,55283286;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;06/26/2006;;26/06/2006;;19/10/2015 19:53;0;40;40;N;Self Support;N;CADEADO MULTLOCK PADRÃO ATC.;0;;;;;;;;;;;;X;X;;5090970
1182;A;Active;CE;Baixio;RUA CORONEL FRANCISCO LUIZ,S/N,CENTRO;-16,72241241;-39,44005453;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;40;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;699415110
1183;A;Active;CE;Barbalha;R ANTONIO DUARTE DE SA BARRETO,S/N,BARBALHA;-16,573701;-39,562067;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;41;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;5090911
1184;A;Active;CE;Barroquinha;RUA JOSE GUILHERME DE ARAGÃO,S/N,RURAL;-12,51127968;-39,96727425;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;695552511
1185;A;Active;CE;Canindé;RUA APOLO XI,S/N,CENTRO;-12,55627958;-40,24616518;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;18;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;695550942
1186;A;Active;CE;Caucaia;AVENIDA SAO VICENTE DE PAULA ,S/N,ARATURI;-12,36238993;-40,0381079;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;0;29;29;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;;;683530909
1187;A;Active;CE;Caucaia;ESTRADA  SESC IPARANA ,S/N,PRAIA DE IPARANA;-12,440754;-40,330817;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;26;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;684369060
1188;A;Active;CE;Caucaia;RUA QUINZE DE NOVEMBRO ,S/N,CAPUA;-12,52239043;-40,31422117;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reallocation;19/10/2015 21:13;0;28.5;28.5;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;X;;686711483
1189;A;Active;CE;Caucaia;RUA DOS COQUEIROS,S/N,Araturi;-12,35738955;-40,32922107;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;1000317835
1190;A;Active;CE;Eusébio;RUA CICERO SA,150,CENTRO;-12,305167;-40,3772769;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;874698
1191;A;Active;CE;Eusébio;RUA AMORA PONTES ,471,JABOTI;-12,44016802;-40,11421965;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;686711670
1192;A;Active;CE;Fortaleza;AVENIDA  PONTES VIEIRA,1234,SAO JOAO DO TAUAPE;-12,43127881;-40,33727677;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;5485320
1193;C;Active;CE;Fortaleza;AV BORGES DE MELO,1677,FATIMA;-14,79558333;-39,26977777;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;08/14/2018;;14/08/2018;;07/02/2018 10:39;0;40;40;;Monopole;;;0;;;;;;;;;;;;;X;;4724780
1194;E;Active;CE;Fortaleza;RUA DOUTOR PERGENTINO MAIA ,364,MESSEJANA;-14,84795816;-39,35116195;BR Towers;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:24;;;41.06;N;Self Support;N;Cadeado Segredo Senha 2709;;;;;;;;X;;;;;;;;5484820
1195;C;Active;CE;Fortaleza;RUA PROFESSOR TEODORICO,20,MONTESE;-14,795163;-39,281199;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:01;0;55;55;N;Self Support;N;;0;;X;X;;;;X;;;;;X;;;4724682
1196;E;Active;CE;Fortaleza;RUA  MARIA TOMASIA,900,ALDEOTA;-14,76934768;-39,2692168;BR Towers;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:27;;;41.53;N;Self Support;N;CADEADO MULTLOCK PADRÃO ATC.;;;X;;;;;;;;;;;X;;4724739
1197;C;Active;CE;Fortaleza;AVENIDA DA ABOLICAO ,3690,MUCURIPE;-14,79351446;-39,27643911;Tim;Acquired;Y;Rooftop;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:01;;;6;N;Mastil;N;E-MAIL;;;;;;;;X;;;;;X;;;684865416
1198;C;Active;CE;Fortaleza;RUA  RAFAEL TOBIAS,2198,ALADAGICO NOVO;-14,789147;-39,269712;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:19;0;41.7;41.7;N;Monopole;N;;0;;X;;;;;X;;;;;X;;;684865041
1199;A;Active;CE;Fortaleza;AVENIDA  MOZART PINHEIRO DE LUCENA,sn,ANTONIO BEZERRA;-14,782642;-39,261772;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;64.5;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;X;;;X;;684368986
1200;C;Active;CE;Fortaleza;AVENIDA PADRE ANTONIO TOMAS,3433,PAPICU;-14,805232;-39,278739;Tim;Acquired;Y;Wireless;Tower;;;09/30/2015;30/09/2015;;05/11/2015 10:05;0;50.7;50.7;N;Self Support;N;;0;;X;;;;;X;;;;;X;;;689013957
1201;A;Active;CE;Fortaleza;RUA  FRANCISCO GLICERIO,S/N,MARAPONGA;-14,35323462;-39,17115992;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;0;39.6;39.6;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;;;684374579
1202;D;Active;CE;Fortaleza;RUA MARQUES DE SAPUCAI - CONJUNTO PALMEIRAS,70,JANGURUSSU;-14,37881273;-39,02579224;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:37;;;50;N;Monopole;N;CADEADO SEGREDO 1822;;;;;;;;;;;;;;X;;687672317
1203;C;Active;CE;Fortaleza;AVENIDA DOUTOR THEBERGE,S/N,PIRAMBU;-14,277197;-38,987557;Telefonica Brasil S.A;Built;Y;Wireless;Tower;;12/27/2016;;27/12/2016;;19/10/2015 22:27;0;40;40;N;Self Support;N;;0;;;;;;;;;;;;;X;;687672333
1204;A;Active;CE;Fortaleza;RUA  JILO ,S/N,LAGOA REDONDA;-14,31215;-39,025252;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;0;18;18;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;;X;687672252
1205;D;Active;CE;Fortaleza;RUA PEREIRA DE MIRANDA,1099,PAPICU;-14,279531;-38,996344;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;06/30/2012;30/06/2012;;19/10/2015 20:41;;;40;N;Self Support;N;CADEADO SEGREDO 1822;;;;;;;;;;;;;;X;;4724879
1206;A;Active;CE;Fortaleza;RUA  CARDOSO DE BARROS,237,VILA PERY;-14,42017926;-39,27421632;Oi;Acquired;N;Wireless;Tower;;;11/19/2014;19/11/2014;Reinforcement;19/10/2015 21:13;0;72;72;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;;;892408
1207;A;Active;CE;Fortaleza;RUA 09,S/N,MESSEJANA;-14,2793456;-38,99588076;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;0;40;40;N;Self Support;N;Autorização Regional Oi/CGS;0;;X;;;;;X;;;;;X;;;692743286
1208;A;Active;CE;Fortaleza;RUA DA PIÇARRA ,S/N,CENTRO;-13,21044853;-41,06811629;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;18;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;;;;;;;;;697384454
1209;A;Active;CE;Granja;CE 364 ,S/N,CENTRO;-13,06239218;-41,10811637;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;18;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;;;;;;;;;4725085
1210;A;Active;CE;Ipaumirim;RUA DAS FLORES,S/N,CENTRO;-13,1862819;-40,94728208;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;41;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;691677719
1211;A;Active;CE;Milhã;RUA JOAQUIM NEMEZIO PINHEIRO,S/N,CENTRO;-13,01822548;-40,96117083;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;691268207
1212;C;Active;CE;Quixeramobim;RUA JOEL NUNES,S/N,CENTRO;-12,98600309;-40,96394859;Tim;Built;Y;Wireless;Tower;;02/28/2015;;28/02/2015;;19/10/2015 21:52;;40;40;N;Self Support;N;CADEADO SEGREDO 1822;;;;;;;;;;;;;X;;;697481441
1213;A;Active;CE;Saboeiro;RUA EDITE OLINDA CAVALCANTE,S/N,CENTRO;-14,16323252;-40,00311009;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;20;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;695551876
1214;A;Active;CE;Solonópole;RUA VEREADOR ANTONIO VALTERNO NOGUEIRA ,314,CENTRO;-14,24739969;-39,94116532;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;80;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;691269190
1215;A;Active;CE;Tabuleiro do Norte;RUA JEROMINO BATISTA,S/N,CENTRO;-14,15239939;-39,81421983;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;0;80;80;N;Self Support;N;Autorização Regional Oi/CGS;0;;;;;;;X;;;;;;;;379990903
1216;A;Active;CE;Varjota;RUA JAIR CASTELO BRANCO,SN,CENTRO;-14,27545553;-39,84227576;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;40;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;441819850
1217;A;Active;CE;Fortaleza;AVENIDA WASHINGTON SOARES  4335 LOJA 222 - 1° PISO CENTRO - FORTALEZA;-14,36017806;-39,91922088;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;;;;;;;;;1005537876
1218;D;Active;CE;Caucaia;RUA DANIEL MIRANDA S/N  PARQUE LEBLON CAUCAIA;-16,0837;-39,6102;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;06/30/2012;30/06/2012;;19/10/2015 20:41;;;40;N;Self Support;N;CADEADO SEGREDO 1822;;;;;;;;;;;;;;X;;1005615028
1219;C;Active;CE;Acaraú;Rua Expedito de Farias, 151;-14,67656929;-39,37477298;Tim;Acquired;Y;Wireless;Tower;;;04/29/2015;29/04/2015;;19/10/2015 22:19;;;61;N;Self Support;N;;;;X;X;;;;;;;;;X;;;1005676043
1220;A;Active;CE;Aracati;Rua Projetada 13, Lote 48, Quadra 19;-16,74130087;-39,75922356;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;41;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;1005676060
1221;D;Active;CE;Camocim;Rua General Sampaio, nº 55;-17,02963589;-39,54338916;Telefonica Brasil S.A;Acquired;Y;Wireless;Tower;;;03/30/2012;30/03/2012;;19/10/2015 20:37;;;40;N;Self Support;Y;CADEADO SEGREDO 1822;;;;;;;;X;;;;;;X;;1005676086
1222;A;Active;CE;Pacajus;RUA FRANCISCO JOSE DUARTE - nº S/N;-16,83935702;-39,67311199;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;1005676116
1223;A;Active;CE;Pedra Branca;TV FRANCISCO VIEIRA CAVALCANTE , S/N;-17,12824667;-40,02117059;Oi;Acquired;Y;Wireless;Tower;;;11/19/2014;19/11/2014;;19/10/2015 21:13;;;30;N;Self Support;N;Autorização Regional Oi/CGS;;;;;;;;X;;;;;;;;1005676132
